Movie Name,Year,Certificate,Duration,Genre,TMDB Rating,Votes,Director,Stars,Grossed in $,Plot,Original Language,Popularity,TMDB ID
Metropolis,1927,NR,148,"Drama, Science Fiction",8.091,3062,Fritz Lang,"Gustav Fröhlich, Brigitte Helm, Alfred Abel, Rudolf Klein-Rogge",1350322.0,"In a futuristic city sharply divided between the rich and the poor, the son of the city's mastermind meets a prophet who predicts the coming of a savior to mediate their differences.",de,3.9443,19
Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,143,"Adventure, Fantasy, Action",7.821,22028,Gore Verbinski,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley",6.55011224E8,"When wily Captain Barbossa steals Jack Sparrow's ship and kidnaps the governor's beautiful daughter, Elizabeth, her childhood friend Will Turner joins forces with Jack to save her and recapture Jack's ship, the Black Pearl.",en,19.9985,22
8 Mile,2002,R,111,"Drama, Music",7.141,7741,Curtis Hanson,"Eminem, Kim Basinger, Mekhi Phifer, Brittany Murphy",2.42875078E8,"For Jimmy Smith, Jr., life is a daily fight just to keep hope alive. Feeding his dreams in Detroit's vibrant music scene, Jimmy wages an extraordinary personal struggle to find his own voice - and earn a place in a world where rhymes rule, legends are born and every moment… is another chance.",en,7.4896,65
Memento,2000,R,113,"Mystery, Thriller",8.176,16043,Christopher Nolan,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior",4.0060108E7,"Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why.",en,11.523,77
"Spring, Summer, Fall, Winter... and Spring",2003,Unknown,103,Drama,7.795,1178,Kim Ki-duk,"Oh Young-soo, Kim Ki-duk, Kim Young-min, Seo Jae-kyeong",8945072.0,"An isolated lake, where an old monk lives in a small floating temple. The monk has a young boy living with him, learning to become a monk. We watch as seasons and years pass by.",ko,2.2774,113
The Dark Knight,2008,PG-13,152,"Action, Crime, Thriller",8.528,35409,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",1.004558444E9,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",en,37.5116,155
K-PAX,2001,PG-13,120,"Science Fiction, Drama, Mystery",7.205,2703,Iain Softley,"Jeff Bridges, Kevin Spacey, Mary McCormack, Alfre Woodard",5.031514E7,"Prot is a patient at a mental hospital who claims to be from a far away planet. His psychiatrist tries to help him, only to begin to doubt his own explanations.",en,3.821,167
Jackie Brown,1997,R,154,"Crime, Drama, Thriller",7.357,6869,Quentin Tarantino,"Pam Grier, Samuel L. Jackson, Robert De Niro, Bridget Fonda",7.4727492E7,"Jackie Brown is a flight attendant who gets caught in the middle of smuggling cash into the country for her gunrunner boss. When the cops try to use Jackie to get to her boss, she hatches a plan — with help from a bail bondsman — to keep the money for herself.",en,5.7458,184
Back to the Future Part III,1990,PG,119,"Adventure, Comedy, Science Fiction",7.491,11389,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Mary Steenburgen, Thomas F. Wilson",2.44527583E8,"The final installment finds Marty digging the trusty DeLorean out of a mineshaft and looking for Doc in the Wild West of 1885. But when their time machine breaks down, the travelers are stranded in a land of spurs. More problems arise when Doc falls for pretty schoolteacher Clara Clayton, and Marty tangles with Buford Tannen.",en,6.7357,196
To Be or Not to Be,1942,NR,99,"Comedy, War, Romance",7.806,818,Ernst Lubitsch,"Carole Lombard, Jack Benny, Robert Stack, Felix Bressart",1500000.0,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",en,3.0465,198
